repo_id,actor_id,Core_Contributors
13803,7607,1
20724,301415,1
100181,50139,1
115984,6831,1
117358,23773,1
197672,20201,1
222298,691989,1
229738,129097,2
238492,11377,1
247909,72053,1
254354,56633,1
302322,179734,2
345280,823545,1
378405,155328,2
447184,1524496,1
487828,189618,1
487836,189618,1
487849,189133,2
505964,8633,1
538746,7,1
615096,153279,3
688366,1341245,2
747311,367618,1
756568,367618,2
756841,367618,1
779156,367618,1
790019,903479,1
833839,293691,1
860274,367618,2
862712,365243,2
981363,266668,1
1071734,41809,1
1099265,486017,2
1204412,541725,2
1210728,37817,1
1223928,102631,1
1226561,330036,1
1241677,480938,1
1280180,102631,1
1284106,666646,1
1323458,56633,1
1330465,152014,1
1331548,1993227,1
1340076,271307,1
1359705,1615,1
1369553,457965,1
1369985,662084,1
1370308,183255,1
1380117,1143966,2
1385122,199813,1
1447887,65053,2
1514290,466764,1
1550525,701326,2
1617331,198015,1
1728382,779307,2
1755571,21826,1
1803961,227303,2
1930144,253109,1
1963492,53352,3
1969632,541725,1
1989449,778342,1
2080922,13516,3
2109786,940748,1
2123336,941526,1
2123340,941526,1
2126244,419884,3
2138392,613568,1
2202183,55977,1
2293158,1170909,1
2361853,134294,3
2363776,123110,1
2365549,5184102,2
2387049,367618,1
2387146,367618,1
2393766,1106,1
2465723,413544,2
2541322,368057,2
2558636,1987659,2
2719509,40799,3
2735237,220012,1
2830848,1213591,1
2833260,1192813,1
2840960,79638,3
2847947,111044,2
2855437,458548,1
2903810,173656,1
2918806,931928,1
2941890,372245,1
2945543,325476,1
2968000,950127,1
2990192,512439,1
3016562,1275021,3
3038446,1645989,1
3114881,1307216,1
3130735,1313183,1
3186197,1128659,2
3213293,129097,2
3224481,1694,2
3234987,6364323,1
3234987,6563111,1
3253872,1129144,1
3286219,1220927,1
3287301,1386314,1
3295344,1129144,1
3295353,1129144,1
3343348,172588,1
3414627,1255375,1
3431193,993322,1
3472786,167236,2
3483205,515947,1
3510804,3650485,1
3540121,405446,1
3542444,405446,1
3557653,950127,1
3574573,45143,1
3597853,1332500,1
3633660,2676867,1
3652623,370793,2
3662553,1093207,1
3671342,710117,1
3712825,101480,1
3744109,405446,1
3752513,420995,2
3768025,1554150,2
3814316,1246453,1
3893791,567506,1
3918508,2874694,1
3925157,814772,1
3925242,814772,2
3932498,646253,2
3989388,6182224,2
4033349,1565825,1
4044891,250144,1
4135420,1676522,1
4158448,2066790,1
4198124,831867,1
4237868,379151,1
4302743,20201,1
4307256,1658412,1
4416959,1341245,1
4534921,5095603,1
4537725,5095603,2
4537830,5095603,2
4542716,1148549,2
4693675,959622,1
4708471,485776,1
4787650,193106,2
4816474,2162179,2
4822601,1013655,1
4924151,1290832,2
4967600,1802542,2
5025610,62953,1
5051083,171040,1
5054494,367618,2
5089162,1987779,1
5152285,66577,9
5188983,484068,1
5299477,362745,1
5363116,1848287,1
5383214,1129144,1
5384390,748069,1
5438867,583593,1
5440447,179131,1
5575106,994093,2
5629592,855478,1
5633375,2848,1
5634276,115237,1
5699974,14994,1
5712116,566958,1
5714914,601488,1
5735961,33626,1
5924985,315097,1
5954894,1530016,5
6018009,78642,1
6031942,2033581,4
6039411,939254,1
6055237,1439776,1
6056031,334176,1
6058123,2033581,4
6058151,2033581,4
6058234,2033581,30
6078190,8323759,1
6207723,334176,2
6285991,344777,1
6309879,657389,1
6410069,1205228,1
6437150,1400864,1
6439786,1125622,4
6439865,1125622,4
6444385,74928,1
6451846,1400864,1
6453341,2681312,1
6466760,3202,1
6485371,367618,1
6495082,2539292,5
6495465,2539292,1
6495698,2539292,1
6495874,2539292,1
6547443,511268,1
6568555,1226339,1
6623105,311382,1
6665452,2482253,1
6756500,367618,1
6756503,367618,2
6842649,422217,1
6943969,56633,2
6966619,1036677,1
7228380,2983685,3
7236335,568298,1
7270538,180542,1
7297634,2267126,1
7360528,2041564,1
7386799,83657,1
7396761,1227992,2
7408076,48235,2
7426399,480938,1
7447534,753424,1
7464079,1249764,1
7512484,831867,1
7512664,25510,1
7517166,1334853,1
7569904,164472,1
7588969,429529,8
7653178,131982,3
7672454,406832,1
7721013,87479,1
7812229,271275,1
7827081,2480948,1
7844340,4675662,2
7885934,1583730,1
7907581,296607,1
7930464,2829600,3
7948981,3073864,1
7968180,433997,1
7968428,433997,1
7968569,433997,1
8057761,932918,1
8058419,932918,1
8063255,932918,2
8067787,444263,1
8105769,234276,3
8122790,1221092,1
8144625,4162343,1
8208289,3596952,1
8255002,1495846,1
8367594,599638,1
8412497,1699455,1
8421109,3699256,1
8488437,1779595,5
8528208,25086,3
8588051,2760391,1
8694598,367618,1
8710498,2916945,1
8715146,17978,1
8733526,926454,1
8733622,87996,2
8766817,1467890,1
8869463,833997,1
8870570,52870,2
8883259,1888089,2
8930485,2094217,1
8973396,19875,1
9203569,1558033,1
9238689,1400864,1
9285950,3344856,1
9317463,4102215,1
9332135,1310872,1
9365475,30442,2
