repo_id,Total_number_of_contributors
13803,1
20724,1
100181,1
115984,1
117358,1
197672,1
222298,1
229738,2
238492,1
247909,1
254354,1
302322,2
345280,1
378405,2
447184,1
487828,1
487836,1
487849,2
505964,1
538746,1
615096,3
688366,2
747311,1
756568,2
756841,1
779156,1
790019,1
833839,1
860274,2
862712,2
981363,1
1071734,1
1099265,2
1204412,2
1210728,1
1223928,1
1226561,1
1241677,1
1280180,1
1284106,1
1323458,1
1330465,1
1331548,1
1340076,1
1359705,1
1369553,1
1369985,1
1370308,1
1380117,2
1385122,1
1447887,2
1514290,1
1550525,2
1617331,1
1728382,2
1755571,1
1803961,2
1930144,1
1963492,3
1969632,1
1989449,1
2080922,3
2109786,1
2123336,1
2123340,1
2126244,4
2138392,1
2202183,1
2293158,1
2361853,3
2363776,1
2365549,2
2387049,1
2387146,1
2393766,1
2465723,2
2541322,2
2558636,2
2719509,3
2735237,1
2830848,1
2833260,1
2840960,3
2847947,2
2855437,1
2903810,1
2918806,1
2941890,1
2945543,1
2968000,1
2990192,1
3016562,3
3038446,1
3114881,1
3130735,1
3186197,2
3213293,2
3224481,2
3234987,2
3253872,1
3286219,1
3287301,1
3295344,1
3295353,1
3343348,1
3414627,1
3431193,1
3472786,2
3483205,1
3510804,1
3540121,1
3542444,1
3557653,1
3574573,1
3597853,1
3633660,1
3652623,2
3662553,1
3671342,1
3712825,1
3744109,1
3752513,2
3768025,2
3814316,1
3893791,1
3918508,1
3925157,1
3925242,2
3932498,2
3989388,2
4033349,1
4044891,1
4135420,1
4158448,1
4198124,1
4237868,1
4302743,1
4307256,1
4416959,1
4534921,1
4537725,2
4537830,2
4542716,2
4693675,1
4708471,1
4787650,2
4816474,2
4822601,1
4924151,2
4967600,2
5025610,1
5051083,1
5054494,2
5089162,1
5152285,9
5188983,1
5299477,1
5363116,1
5383214,1
5384390,1
5438867,1
5440447,1
5575106,2
5629592,1
5633375,1
5634276,1
5699974,1
5712116,1
5714914,1
5735961,1
5924985,1
5954894,5
6018009,1
6031942,4
6039411,1
6055237,1
6056031,1
6058123,4
6058151,4
6058234,30
6078190,1
6207723,2
6285991,1
6309879,1
6410069,1
6437150,1
6439786,4
6439865,4
6444385,1
6451846,1
6453341,1
6466760,1
6485371,1
6495082,5
6495465,1
6495698,1
6495874,1
6547443,1
6568555,1
6623105,1
6665452,1
6756500,1
6756503,2
6842649,1
6943969,2
6966619,1
7228380,3
7236335,1
7270538,1
7297634,1
7360528,1
7386799,1
7396761,2
7408076,2
7426399,1
7447534,1
7464079,1
7512484,1
7512664,1
7517166,1
7569904,1
7588969,8
7653178,3
7672454,1
7721013,1
7812229,1
7827081,1
7844340,2
7885934,1
7907581,1
7930464,3
7948981,1
7968180,1
7968428,1
7968569,1
8057761,1
8058419,1
8063255,3
8067787,1
8105769,3
8122790,1
8144625,1
8208289,1
8255002,1
8367594,1
8412497,1
8421109,1
8488437,5
8528208,3
8588051,1
8694598,1
8710498,1
8715146,1
8733526,1
8733622,2
8766817,1
8869463,1
8870570,2
8883259,2
8930485,1
8973396,1
9203569,1
9238689,1
9285950,1
9317463,1
9332135,1
9365475,2
9384988,1
9399334,3
9436196,1
9447707,1
9457897,7
9512747,1
9584741,1
9585555,1
9603429,2
9614450,1
9693534,1
9736099,2
9749290,1
9759448,1
9801943,1
9974276,2
10005030,1
10020253,1
10021385,1
10033802,1
10038467,3
10039899,2
10040198,7
10040379,1
10052229,1
10095561,1
10126031,1
10218080,1
10257627,2
10314483,1
10317502,1
10349104,1
10415898,2
10415964,1
10416648,1
10435975,4
10442886,1
10442936,1
10442970,1
10442975,1
10442976,1
10442977,1
10446270,1
10446275,2
10467655,3
10489159,1
10490362,1
10491111,1
10534723,1
10589177,1
10591288,1
10592993,1
10594039,1
10608253,1
10611388,2
10653604,1
10670501,1
10672637,1
10727057,1
10794423,1
10838237,1
10866521,2
10958379,1
10961863,1
10987603,1
11035035,1
11099534,2
11112364,1
11134801,1
11155663,1
11164718,1
11317725,1
11436474,2
11515805,1
11516694,1
11542384,1
11549335,2
11616657,1
11671912,3
11672686,1
11673915,2
11728942,1
11771697,1
11802466,1
11877133,1
11877982,2
11879934,2
11967309,1
12040130,1
12093443,1
12146969,3
12306307,1
12340319,1
12385273,1
12411764,2
12428376,1
12435095,1
12544475,1
12551129,3
12634704,1
12679353,1
12700499,1
12711013,1
12741028,2
12745236,4
12798028,2
12840543,1
12899667,1
12979789,2
12983585,2
12997400,1
12997686,1
13015955,1
13027297,1
13102076,1
13174854,1
13186315,4
13222817,2
13315305,1
13319158,1
13352640,1
13360824,1
13431919,1
13433480,1
13499745,2
13509108,3
13516504,1
13544898,5
13573866,1
13655949,1
13662106,1
13666531,1
13668558,1
13674303,1
13690115,1
13793762,1
13794677,1
13817352,1
13818463,1
13845370,1
13851456,1
13893582,1
13913264,3
13918292,1
14002592,1
14058345,1
14058646,1
14079522,1
14090992,1
14148013,1
14201058,1
14234456,1
14244921,2
14258404,1
14275631,2
14279740,2
14284550,1
14286367,1
14289657,1
14312560,1
14313288,1
14427510,1
14438995,1
14473933,1
14546116,1
14552429,3
14601190,2
14629304,1
14699527,1
14734876,4
14739084,1
14829187,1
14845307,1
14849761,1
14871077,1
14879832,1
14895592,1
14915760,1
14942891,1
14991487,4
15001035,2
15009067,1
15032076,1
15032738,2
15034137,2
15035998,1
15036238,1
15063820,1
15080619,2
15100395,12
15119415,1
15177111,1
15177709,1
15193430,1
15237233,1
15382280,1
15441866,1
15461243,4
15477991,2
15486567,1
15488440,6
15519902,1
15526570,3
15532080,1
15558946,1
15572464,3
15576121,1
15589258,1
15656147,1
15666435,1
15713116,1
15714889,3
15718405,4
15748552,1
15760311,1
15790644,8
15808686,1
15838380,1
15857755,1
15902335,1
15908247,1
15919430,1
15923027,2
15943682,1
15951934,1
15984451,1
16009240,1
16018083,1
16036505,1
16051158,1
16059597,1
16061165,2
16081882,1
16091467,2
16116287,1
16129958,5
16159065,1
16188576,2
16249702,1
16266082,1
16285002,1
16301255,1
16323555,1
16332631,1
16334926,1
16350266,1
16418633,1
16448230,1
16473585,1
16525002,1
16529451,1
16531825,7
16554941,1
16572329,2
16607266,1
16722721,1
16819408,1
16832741,1
16833966,3
16890159,1
16901435,1
16937043,1
16972230,1
16994292,4
17056902,1
17067597,2
17069604,3
17101123,1
17136520,1
17147171,2
17152267,1
17152891,1
17165658,4
17179173,1
17190491,1
17234057,2
17236735,1
17268927,1
17299346,1
17313482,1
17371412,1
17375822,1
17423002,3
17432357,1
17457530,3
17473666,1
17480926,1
17529590,1
17536276,2
17580814,6
17617697,1
17640761,1
17672250,1
17682668,1
17710592,1
17717497,2
17730345,1
17730514,1
17739679,1
17764313,2
17817709,1
17826716,1
17852869,1
17873870,2
17906147,2
17907002,1
17947764,1
17971324,2
17985744,1
17996456,1
18017865,1
18020014,1
18020914,1
18039094,1
18046167,1
18069451,2
18089434,1
18115347,4
18126008,12
18139110,1
18156369,2
18160176,1
18201810,2
18209555,1
18266208,1
18267935,2
18271108,1
18275311,1
18326701,1
18327383,1
18327496,1
18411746,1
18456300,1
18457766,1
18470436,1
18472516,1
18478437,1
18493101,1
18495441,2
18532367,1
18552822,1
18592954,1
18600949,1
18603823,2
18620619,13
18663590,4
18694368,1
18715057,1
18719937,1
18747374,2
18761819,1
18839749,2
18900363,3
18904157,1
18929235,1
18956585,1
19025999,2
19047649,1
19049758,1
19051665,2
19060965,1
19073780,1
19086266,1
19108230,3
19122406,3
19178105,5
19246063,1
19294491,1
19328708,1
19352450,1
19353657,2
19386378,2
19415093,1
19473153,1
19508919,1
19514776,4
19524156,2
19545865,1
19575934,1
19625428,1
19638168,1
19684176,1
19688633,3
19712775,1
19718418,1
19750688,1
19753490,1
19756033,1
19782742,1
19783776,1
19794517,1
19799491,6
19821157,4
19833367,1
19842476,2
19844101,1
19853787,1
19880102,3
19892380,1
19897997,2
19899004,1
19914909,1
19916900,1
19940883,1
19959218,1
19961042,2
19961044,1
19961056,1
19965701,1
19986748,1
19993673,1
20005405,1
20006178,1
20016880,2
20020926,1
20030571,1
20035058,1
20035848,1
20041931,2
20044005,1
20086003,5
20107959,1
20117626,1
20122626,2
20136009,1
20157059,3
20170673,1
20198782,1
20239329,1
20252671,2
20266334,2
20266504,1
20268125,3
20281714,1
20284114,1
20291263,6
20319753,2
20341239,1
20345659,1
20367998,1
20372057,2
20387866,2
20405743,1
20463939,1
20469468,1
20527117,3
20531173,1
20531755,1
20540592,1
20542797,1
20550978,1
20567458,2
20606216,2
20632410,1
20634788,1
20652730,2
20682452,3
20753922,2
20770460,3
20782655,1
20811526,1
20822032,2
20835178,2
20837913,1
20871075,1
20941068,2
21009348,3
21054614,6
21067831,1
21085682,1
21103899,3
21144145,2
21175597,1
21182346,1
21183471,1
21256946,4
21263487,1
21285335,1
21296590,1
21323691,1
21329550,2
21329921,1
21368887,1
21376159,1
21377779,2
21388511,1
21390245,3
21396295,5
21401072,1
21450767,1
21457582,1
21469993,1
21480985,1
21481110,79
21522534,1
21528910,1
21536118,2
21542754,1
21544147,1
21549222,1
21585818,1
21596685,1
21612734,1
21613986,1
21627244,2
21640233,1
21642960,3
21661221,1
21667862,1
21710732,1
21739906,1
21783823,1
21798503,1
21806584,1
21825710,1
21833183,3
21833720,1
21853529,1
21868831,1
21889774,1
21895280,2
21895733,1
21898975,3
21908402,1
21915008,2
21921396,1
21927560,1
